2018-04-25 16:32:51 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.aitaotu.com/tag/youguowang/47.html> (referer: https://www.aitaotu.com/tag/youguowang.html)
2018-04-25 16:32:51 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.aitaotu.com/tag/youguowang/46.html> (referer: https://www.aitaotu.com/tag/youguowang.html)
2018-04-25 16:32:51 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.aitaotu.com/tag/Tyingart/2.html> (referer: https://www.aitaotu.com/tag/Tyingart.html)
2018-04-25 16:32:51 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.aitaotu.com/tag/youguowang/45.html> (referer: https://www.aitaotu.com/tag/youguowang.html)
2018-04-25 16:32:51 [urllib3.connectionpool] DEBUG: Starting new HTTPS connection (1): www.aitaotu.com
2018-04-25 16:32:51 [urllib3.connectionpool] DEBUG: https://www.aitaotu.com:443 "GET /guonei/1182.html HTTP/1.1" 200 6803
2018-04-25 16:32:54 [urllib3.connectionpool] DEBUG: https://www.aitaotu.com:443 "GET /guonei/1182_1.html HTTP/1.1" 200 None
2018-04-25 16:32:54 [urllib3.connectionpool] DEBUG: Starting new HTTPS connection (1): img.aitaotu.cc
2018-04-25 16:32:56 [urllib3.connectionpool] DEBUG: https://img.aitaotu.cc:8089 "GET /Pics/2015/0430/20/01.jpg HTTP/1.1" 200 82141
2018-04-25 16:32:56 [urllib3.connectionpool] DEBUG: https://img.aitaotu.cc:8089 "GET /Pics/2015/0430/20/02.jpg HTTP/1.1" 200 83821
2018-04-25 16:32:57 [urllib3.connectionpool] DEBUG: https://img.aitaotu.cc:8089 "GET /Pics/2015/0430/20/03.jpg HTTP/1.1" 200 82751
2018-04-25 16:32:57 [urllib3.connectionpool] DEBUG: https://img.aitaotu.cc:8089 "GET /Pics/2015/0430/20/04.jpg HTTP/1.1" 200 86327
2018-04-25 16:32:59 [urllib3.connectionpool] DEBUG: https://www.aitaotu.com:443 "GET /guonei/1182_2.html HTTP/1.1" 200 None
2018-04-25 16:32:59 [urllib3.connectionpool] DEBUG: https://img.aitaotu.cc:8089 "GET /Pics/2015/0430/20/05.jpg HTTP/1.1" 200 90781
2018-04-25 16:33:00 [urllib3.connectionpool] DEBUG: https://img.aitaotu.cc:8089 "GET /Pics/2015/0430/20/06.jpg HTTP/1.1" 200 132477
2018-04-25 16:33:00 [urllib3.connectionpool] DEBUG: https://img.aitaotu.cc:8089 "GET /Pics/2015/0430/20/07.jpg HTTP/1.1" 200 140422
2018-04-25 16:33:01 [urllib3.connectionpool] DEBUG: https://img.aitaotu.cc:8089 "GET /Pics/2015/0430/20/08.jpg HTTP/1.1" 200 83582
2018-04-25 16:33:02 [urllib3.connectionpool] DEBUG: https://www.aitaotu.com:443 "GET /guonei/1182_3.html HTTP/1.1" 200 None
2018-04-25 16:33:02 [urllib3.connectionpool] DEBUG: https://img.aitaotu.cc:8089 "GET /Pics/2015/0430/20/09.jpg HTTP/1.1" 200 120454
2018-04-25 16:33:02 [urllib3.connectionpool] DEBUG: https://img.aitaotu.cc:8089 "GET /Pics/2015/0430/20/10.jpg HTTP/1.1" 200 57082
